"facility_id","access_level","population_count"
14186,"121-180",12737.7662305497
14186,"31-60",11263.991439376
14186,"61-120",41028.1993409172
14186,"<30",132760.001471139
14186,">180",8347.177401077
14231,"121-180",10702.4487386607
14231,"31-60",5308.06301780418
14231,"61-120",44808.9021885917
14231,"<30",139362.31863112
14231,">180",5955.40330688283
14440,"121-180",11100.9502149001
14440,"31-60",14624.973860193
14440,"61-120",172100.454523627
14440,"<30",2051.11842153966
14440,">180",6259.63886279985
14527,"121-180",10702.4487386607
14527,"31-60",5308.06301780418
14527,"61-120",44808.9021885917
14527,"<30",139362.31863112
14527,">180",5955.40330688283
14656,"121-180",9832.90815014765
14656,"31-60",8901.76053280383
14656,"61-120",42271.789984677
14656,"<30",138491.440932631
14656,">180",6639.23628279939
14663,"121-180",13237.3340165801
14663,"31-60",4090.17922815681
14663,"61-120",164619.601145212
14663,"<30",15348.8460109755
14663,">180",8841.17548213527
14683,"121-180",10515.7640043236
14683,"31-60",5071.63955753669
14683,"61-120",45109.735231474
14683,"<30",139496.921106562
14683,">180",5943.07598316297
14685,"121-180",9146.11312593147
14685,"31-60",152293.03025293
14685,"61-120",34629.5086261109
14685,"<30",4754.72888667881
14685,">180",5313.75499140844
14687,"121-180",7760.41013167053
14687,"31-60",12276.0639401674
14687,"61-120",169752.466877669
14687,"<30",11394.7155722007
14687,">180",4953.47936135158
14795,"121-180",20338.8209219128
14795,"31-60",5433.88301067799
14795,"61-120",167149.036800805
14795,"<30",2564.77456092462
14795,">180",10650.6205887385
14838,"121-180",10465.5767484494
14838,"31-60",15394.2402364835
14838,"61-120",165298.578975718
14838,"<30",8642.24173256755
14838,">180",6336.49818984047
14863,"121-180",17751.6353881024
14863,"31-60",135485.799563542
14863,"61-120",41641.8248697668
14863,"<30",0
14863,">180",11257.8760616481
14994,"121-180",24080.4075721093
14994,"31-60",12260.4776919149
14994,"61-120",158806.966535866
14994,"<30",3020.06784059852
14994,">180",7969.21624257043
15034,"121-180",157042.189753871
15034,"31-60",131.126873940229
15034,"61-120",266.168838888407
15034,"<30",0
15034,">180",48697.6504163593
15044,"121-180",9606.88498871401
15044,"31-60",18627.3693574294
15044,"61-120",170021.826325245
15044,"<30",1684.73461840674
15044,">180",6196.32059326395
15049,"121-180",10702.4487386607
15049,"31-60",5308.06301780418
15049,"61-120",44808.9021885917
